X,Y,Name
12.3385047912598,45.4341173285559,Venice
28.9802814879194,41.0103337604605,Istanbul
32.4228541749398,43.5018556464645,Black Sea
34.9724535519694,44.8514442957073,Sudak
47.43073,47.19643,Old Sarai
49.0452517831497,54.9776099966759,Bolghar
45.9625997941787,51.4210156549886,Ukek
64.4197796818187,39.7726540020245,Bukhara
35.7917036702696,36.76812266574,Yumurtalık
35.082950592041,32.9337760741083,Acre
23.8310104808115,38.5712010799492,Euboea
35.2166630691908,31.7833267487579,Jerusalem
29.9910046577176,26.9277807629167,Egypt
116.179165,42.359722,Shangdu
39.7219404773714,41.0041262012935,Trabzon
35.2190693804713,37.1779508575496,Armenian Cilicia
32.513779693602,39.257670558212,Sultanate of Rum
32.486572265625,37.8748533935293,Konya
37.02392578125,39.7747694852955,Sivas
35.7275390625,38.6511983322995,Kayseri
41.33,39.24,Zakarid Armenia
39.48486328125,39.7916548352534,Erzincan
41.2455622309256,39.9084950086917,Erzurum
43.3590539979325,39.0293520469844,Erciş
40.2271343927609,40.2528498239452,Bayburt
44.9705334799508,40.8744467517378,Georgia
44.0482711891675,42.6204437467056,Gates of Alexander
50.3516302741738,42.1055591629713,Caspian Sea
44.7884365340515,41.7230570971242,Tbilisi
43.13232421875,36.3328280873792,Mosul
41.4882811246564,38.7343393060038,Muş
40.726318359375,37.3177518516369,Mardin
110.63521151,36.50877589,Cathay
31.2089880463397,30.0677138400951,Cairo
44.439697265625,33.3213485266988,Baghdad
54.0190887451172,26.5599712602323,Kish
47.8179931640625,30.5025258517703,Basra
46.2998199462891,38.07187927827,Tabriz
48.0052427436706,36.1375442119129,Persian Iraq
54.0190887451172,26.5599712602323,Iran
50.361328125,35.1019340572461,Saveh
49.998779296875,36.2619922044566,Qazvin
42.6249867471742,34.6172501950836,Kurdistan (Iranian)
48.33984375,33.5047590692261,Lorestan
53.4262302646722,28.3107302049674,Fars province
51.6659545898438,32.6613442226795,Isfahan
52.58056640625,29.5734570730176,Shiraz
50.9930419921875,29.4706878648326,Shabankareh
58.1733016353267,34.0188935149148,Ferdows
54.8242218109799,34.7075483956399,Dasht-e Kavir
54.3569183349609,31.9032097963672,Yazd
57.0671081542969,30.2875315892987,Kerman
70.8773818983971,36.5310166204129,Badakhshan
69.655995478548,35.0225060351257,Pashayi (land of)
76.5014102291984,34.5004894702476,Kashmir
74.3118106230348,31.5318848685353,Lahore
56.4523887634277,27.0945862251416,Hormuz
56.282958984375,31.4661537150243,Kuhbanan
50.5862713205838,36.4380588852745,Alamut
36.2932345224673,33.5137293349834,Damascus
65.7520031600236,36.6650023405309,Sheberghān
66.9122314453125,36.7432860543794,Balkh
69.5396590648525,36.7346607440642,Taleqan
70.1051330566406,36.8048865602372,Keshem
71.4556947689347,37.616667,Shighnan
73.1124593895966,36.9504106561319,Wakhan corridor
74.2833075285416,37.2663281310271,Little Pamir
75.1567788410827,35.5511120742639,Balawaristan
76.025390625,39.5040407055842,Kashgar
67.060546875,39.5379397451763,Samarkand
77.2503662109375,38.4277735113291,Yarkant
79.892578125,37.3876174997839,Hotan
81.6998291015625,36.9147642889559,"Yutian County, Xinjiang"
81.6204338569674,39.4288286227826,Turkestan
85.517578125,38.2554363763795,Qiemo/Qarqan
87.9999967448407,39.0336112638224,Charklik (Ruoqiang)
99.2602219251527,40.3813298768764,Western Xia
94.6647258434937,40.1379385208747,Dunhuang/Shazhouzhen
93.515625,42.8276386362423,Hami
86.696077429479,44.3281124353874,Qocho
89.5288878064834,42.8525510332768,Gaochang
98.514404296875,39.7325379843817,Jiuquan/Suzhou
100.318906956069,38.9869177869072,Zhangye/Ganzhou
101.143168979276,41.7646159943702,Khara-Khoto
102.843103342697,47.2016793504822,Karakorum
125.177901882004,44.2453131740279,Manchuria
111.749122353177,40.8419637598766,Hohhot
87.8909913366504,49.875117732154,Altai Mountains
110.534818215832,54.1727121327394,Buryatia
102.63427734375,37.9398654089798,Wuwei/Liangzhou
101.770305633545,36.5984403971961,Xining
106.5429998048,38.6275271573816,Ningxia
105.818547668957,38.7533482732484,Alxa League
115.048828125,40.6473035625225,Xuanhua
116.179165,42.359722,Shangdu
97.835935046435,32.9291448944755,Tibet
127.580931005523,37.3711311375944,Korea
113.352861439967,48.0543494939001,Bars-Hot
116.395045618069,39.9623600638576,Beijing/Khanbaliq
115.981006810644,39.4817981023352,Zhuozhou
114.559443200816,38.1397209094142,Zhengding
112.5497,37.870151332158,Taiyuan
111.519092463255,36.0879237193585,Linfen
110.843204186417,34.9116552591708,Haizhou Emperor Guan Temple
110.444491140146,34.8749653461729,Hezhong/Puzhouzhen
108.954003833035,34.2649962159336,Xi’an
107.023225980258,33.0664033583842,Hanzhong (prefecture)
105.165337662457,31.9927526271242,Hanzhong (city)
104.063333017439,30.6599999781101,Chengdu
102.264721870614,27.8936259595629,Xichang
100.183305583792,25.69998908255,Yunnan/Dali Kingdom
102.705498309871,25.0128148445159,Kunming
99.9967544278221,23.7069497592318,Dai people (land of)
99.161014241089,25.1119967990558,Baoshan/Yongchang
95.2831274996211,21.9483029502035,Myanmar
87.8206493863808,24.4699843969688,Bengal
105.786302545833,21.057416074043,Vietnam/Jiaozhi
101.525119733788,21.1371322128847,Hani people (land of)
105.999261286626,23.8745297057039,Kula people
109.459804901425,31.0174932431143,Kuizhou
107.39012846574,29.7016901228717,Fuling
116.089611811542,38.4400083030675,Hejian
116.838149853872,38.3048378222153,Cangzhou
116.316259297824,37.4374501009711,Dezhou
116.455616756044,35.9268466631199,Dongping
116.588850751106,35.4137321260675,Jining
117.88810931036,34.3952698315166,Pizhou
118.274829695882,33.9630743689,Suqian
119.104000943226,33.5576706605976,Huai'an
119.104000943226,33.5576706605976,Huai'an
113.44048457,24.72085893,Mangi
119.307267074281,33.2353697385201,Baoying
119.432978841018,32.7847083387736,Gaoyou
119.91962993573,32.447470309441,"Taizhou, Jiangsu"
120.883689633032,31.9812281390403,Nantong
119.433304743579,32.3912161423496,Yangzhou
117.104881265485,30.5324849135673,Anqing
112.121091722505,32.0124253914344,Xiangyang
119.177655144744,32.2575640753617,Yizheng
119.387319443863,32.2494787670021,Guazhou
119.440532245973,32.2097469869803,Zhenjiang
119.967698676778,31.8201515652101,Changzhou
98.514404296875,39.7325379843817,Suzhou
120.64519222058,31.1386947061545,Suzhou/Wujiang
120.183093592773,30.8599172305228,Huzhou/Wuxing
119.911,31.0290036804424,Changxing
120.153006256251,30.2669949843493,Hangzhou
120.849439801394,30.3792643245193,Ganpuzhen
120.580758849753,29.9978123856529,Shaoxing
119.647,29.0796558741376,Jinhua/Wuzhou
118.859321699934,28.9705598603512,Quzhou
119.275949631555,28.5919702368282,Suichang
119.922942644335,28.4687467496785,Lishui
119.296298038963,26.0744266790546,Fuzhou
118.679426231273,29.8248473410261,Jiangzhe
118.316904914101,27.0330973525456,Jian’ou
118.869511530216,26.2128390673735,Minqing
118.675663407007,24.8745151354935,Quanzhou
116.35577430423,25.8399993785341,Changting
87.1614137856857,18.8510952950959,Greater India
29.8846134770001,31.1895205750001,Alexandria
111.270239860354,7.36416098547862,East Indies
137.052227482327,35.9827027268622,Japan
112.44587387,29.70602413,China
124.20223625526,33.6908062774104,East China Sea
109.672571293715,19.188952464324,Hainan
108.538184704172,14.7880690525372,Vietnam/Champa
109.95428308856,-7.44736156436317,Java
106.602305535,8.69472890800006,Côn Sơn Island
104.506474023521,1.07435598120289,Bintan Island
103.755737712496,-1.86427550457947,Melayu Kingdom
102.062784875876,-0.872125056170476,Sumatra
96.9760717285525,4.15847640748201,"Perlak, Aceh"
99.5223453857246,0.28152,West Pasaman Regency
97.1539352490545,5.15391287736362,Samudera Pasai Sultanate
96.1025458400467,4.66889515356654,Batak (land of)
95.191091342,5.60846588700008,Lambri
98.3955176635666,2.01053149741174,Barus
93.778772848853,7.07989637767269,Nicobar Islands
92.7925877671601,12.4343298866572,Andaman Islands
80.6997485050668,7.48377432846179,Sri Lanka
79.8146264980001,10.2724063170001,Point Calimere
79.8168008451745,8.06897744700168,Puttalam
78.4358263982396,17.3726822014788,Telangana
71.1404029000391,23.1792946388312,Gujarat (Lar)
78.1184251008663,8.56626162515733,Kayalpatnam
76.6,8.88,Kollam
77.552702564819,8.08586678981699,Kanyakumari
75.2123165667873,12.0227252481629,Ezhimala
76.5757240438448,10.6622370114584,Kerala
71.1404029000391,23.1792946388312,Gujarat
72.9568598115724,19.1716194694635,Thane
72.6216766278055,22.2996121913768,Khambhat
70.4013908262162,20.8880303655788,Somnath
60.64108,25.3111228491528,Makran
53.849000071393,12.5398979438709,Socotra
49.3596508726167,-12.5951562881767,Madagascar
39.6791219642774,-5.64873516560364,Zanzibar
44.6181903354311,5.95157673243498,Ethiopia
30.8482267707202,19.5681543638048,Nubia
45.0334448174983,12.7999549997269,Aden
49.6069455510674,14.7608298878178,Ash-Shihr
54.0770807424493,17.0191936629682,Dhofar Governorate
59.369927784468,22.7000001450502,Qalhat
56.3575309252098,61.2482223943477,Land of Darkness
37.5156549860337,55.8699733211068,Russia
41.9445684768352,45.5971870291789,Lezgins (land of)
11.1082313547979,62.6915624646459,Norway
40.5412772296558,48.0084664798634,Cumania
42.2057696064585,43.7792221717497,Alania
47.9716848639842,41.8769717661666,Dagestan
38.3596919322827,44.4880830205924,Zichia
33.5603947270001,44.49628327,Principality of Theodoro
33.762047589071,45.2816101447279,Genoese Gazaria
44.9709817176075,49.1045319549265,Plain of Nerghi
